jd_night,sindex
2446793.5,0.1654
2446794.5,0.1635
2446798.5,0.1671
2446799.5,0.1679
2446800.5,0.1687
2446802.5,0.1683
2446802.5,0.1686
2446816.5,0.1684
2446817.5,0.1692
2446819.5,0.1677
2446820.5,0.1696
2446821.5,0.1685
2446822.5,0.1664
2446824.5,0.1679
2446825.5,0.163
2446828.5,0.1673
2446829.5,0.1681
2446829.5,0.1669
2446830.5,0.1634
2446831.5,0.1679
2446831.5,0.1665
2446832.5,0.1674
2446848.5,0.168
2446849.5,0.1672
2446854.5,0.1691
2446855.5,0.169
2446856.5,0.1683
2446857.5,0.1681
2446857.5,0.1708
2446858.5,0.1693
2446858.5,0.1704
2446859.5,0.1703
2446862.5,0.1672
2446865.5,0.1677
2446866.5,0.1671
2446867.5,0.1651
2446868.5,0.1684
2446869.5,0.1677
2446871.5,0.1683
2446872.5,0.1673
2446874.5,0.1681
2446876.5,0.167
2446877.5,0.168
2446881.5,0.167
2446882.5,0.1683
2446884.5,0.1665
2446885.5,0.1658
2446893.5,0.1712
2446894.5,0.1721
2446894.5,0.1693
2446895.5,0.1692
2446896.5,0.1686
2446899.5,0.1745
2446901.5,0.1715
2446902.5,0.1713
2446903.5,0.1688
2446905.5,0.1706
2446908.5,0.1669
2446912.5,0.1696
2446913.5,0.1696
2446915.5,0.1683
2446916.5,0.1704
2446917.5,0.1688
2446918.5,0.1688
2446919.5,0.1702
2446919.5,0.1657
2446920.5,0.1709
2446921.5,0.1716
2446923.5,0.172
2446924.5,0.1751
2446925.5,0.1736
2446931.5,0.1704
2446932.5,0.1713
2446935.5,0.1746
2446936.5,0.1725
2446937.5,0.173
2446940.5,0.1732
2446941.5,0.1677
2446942.5,0.1675
2446943.5,0.168
2446944.5,0.1678
2446945.5,0.1684
2446946.5,0.1672
2446947.5,0.1692
2446948.5,0.1695
2446948.5,0.1654
